Category,Match_Score,Extracted_Skills
CONSULTANT,16.669939933529655,"['python', 'java', 'sql', 'machine learning', 'data analysis']"
ENGINEERING,16.44454866794387,"['python', 'sql', 'machine learning', 'tableau', 'excel', 'data analysis']"
DIGITAL-MEDIA,16.351120333508263,"['python', 'java', 'sql', 'power bi', 'tableau', 'excel']"
BANKING,15.552152433486729,"['python', 'sql', 'machine learning']"
INFORMATION-TECHNOLOGY,15.2925818717767,"['python', 'aws', 'communication']"
ARTS,14.996022139444904,['leadership']
CONSULTANT,14.98733871329508,"['java', 'sql', 'tableau', 'excel', 'communication']"
AGRICULTURE,14.369992686519709,"['python', 'java', 'sql', 'aws', 'leadership']"
DESIGNER,13.163745317810086,[]
INFORMATION-TECHNOLOGY,12.75070041254002,"['python', 'sql', 'tableau', 'excel', 'aws', 'data analysis']"
HEALTHCARE,12.701582861426939,['excel']
SALES,11.747726301430912,"['java', 'sql', 'tableau', 'excel', 'communication']"
INFORMATION-TECHNOLOGY,11.51820491011939,"['sql', 'communication', 'leadership']"
TEACHER,11.064818095365066,"['excel', 'communication', 'leadership']"
TEACHER,10.823268994690807,['communication']
AUTOMOBILE,10.688513502308632,"['python', 'sql', 'tableau', 'excel', 'leadership', 'data analysis']"
BUSINESS-DEVELOPMENT,10.470827369919878,"['python', 'java', 'sql', 'tableau', 'excel', 'leadership']"
AUTOMOBILE,10.365213054145997,"['python', 'java', 'sql', 'machine learning', 'excel', 'data analysis']"
TEACHER,10.214498637100053,"['excel', 'communication', 'leadership']"
TEACHER,10.032955406628934,"['excel', 'communication', 'leadership']"
INFORMATION-TECHNOLOGY,9.945726401376927,"['java', 'sql', 'leadership']"
INFORMATION-TECHNOLOGY,9.402442304134091,"['sql', 'tableau', 'leadership']"
AGRICULTURE,9.23559944176743,"['python', 'java', 'sql', 'tableau', 'excel', 'tensorflow', 'communication', 'leadership', 'react', 'mongodb']"
INFORMATION-TECHNOLOGY,8.744702224828064,"['sql', 'excel', 'aws', 'communication']"
BANKING,8.378079118056174,"['java', 'sql', 'communication', 'data analysis']"
BUSINESS-DEVELOPMENT,8.364746381902496,"['python', 'sql', 'excel', 'communication', 'leadership']"
TEACHER,8.320276280752315,"['excel', 'communication', 'leadership']"
CONSTRUCTION,8.247149942342007,"['excel', 'communication', 'leadership']"
ENGINEERING,8.126910458791816,"['python', 'sql', 'tableau']"
AVIATION,8.074927624576448,"['python', 'sql', 'excel']"
SALES,8.020192193863345,"['machine learning', 'tableau', 'excel', 'communication', 'data analysis']"
ACCOUNTANT,7.997957733930202,"['excel', 'communication']"
DESIGNER,7.957980423879829,['excel']
AVIATION,7.913924479422768,[]
TEACHER,7.859047781763298,[]
CONSULTANT,7.844222244532897,"['java', 'sql', 'communication']"
DESIGNER,7.7603305070305755,"['excel', 'communication', 'leadership']"
ARTS,7.73532190960407,"['excel', 'communication', 'leadership', 'data analysis']"
CONSULTANT,7.719053872084554,"['java', 'sql', 'excel']"
TEACHER,7.702770563010724,['leadership']
ENGINEERING,7.6982926575276265,"['java', 'sql', 'communication', 'leadership']"
ENGINEERING,7.637714706863252,"['python', 'java', 'sql', 'aws', 'mongodb']"
DESIGNER,7.623434285197462,"['excel', 'communication', 'leadership', 'data analysis']"
BANKING,7.481754074841692,"['java', 'sql', 'excel', 'communication']"
TEACHER,7.454945469126321,"['excel', 'communication', 'leadership']"
TEACHER,7.398960003931842,"['excel', 'communication']"
ARTS,7.382938122449382,"['excel', 'communication']"
AGRICULTURE,7.257552792725773,"['excel', 'communication', 'leadership']"
INFORMATION-TECHNOLOGY,7.040068085216797,"['python', 'java', 'sql', 'excel', 'communication']"
PUBLIC-RELATIONS,7.006032634353292,"['communication', 'leadership']"
ACCOUNTANT,6.9662849177042085,"['excel', 'communication']"
TEACHER,6.869594055510459,[]
AGRICULTURE,6.868154282726473,"['excel', 'communication']"
TEACHER,6.858546757953915,"['excel', 'communication']"
INFORMATION-TECHNOLOGY,6.773402474477162,"['sql', 'excel', 'communication', 'leadership']"
APPAREL,6.771995820500841,"['excel', 'communication']"
SALES,6.747787171471237,"['excel', 'communication', 'leadership']"
